ID,name,c1,c2,c3,story,nav,win,lose,stranger,health,item,money
1,home,2,3,4,"You are at home, and you are sitting on the couch thinking of great adventure!","Press 1 to go to the jungle, Press 2 to go to the village, or Press 3 to go to the beach",0,0,0,0,0,0
2,jungle,1,5,6,"You are in the jungle, hoping to find something exciting","Press 1 to go home, Press 2 to go to the cave, or Press 3 to go to the bridge",0,0,0,0,0,0
3,village,1,7,4,"You are in the village, watching people passing by","Press 1 to go back home, Press 2 to go to the mall, or Press 3 to go to the beach",0,0,1,0,0,0
4,beach,1,8,9,"You are at the beach, there is sand everywhere and some people running around in the water","Press 1 to go back home, Press 2 to go to the bar, or Press 3 to go to the dock",0,0,1,0,1,0
5,cave,2,13,14,"You are in a cave, it is dark in here","Press 1 to go to the jungle, Press 2 to go to the oasis, or Press 3 to go to the lake",0,0,0,0,0,0
6,bridge,2,10,7,"You are on a bridge, you met Tarzan","Press 1 to go to the jungle, Press 2 to go to the Treehouse, or Press 3 to go to the mall",0,0,1,0,0,0
7,mall,3,16,2,"You are at the mall, hoping to find someone you know","Press 1 to go to the village, Press 2 to go to Tim Hortons, or Press 3 to go to the jungle",0,0,1,0,0,0
8,bar,4,11,12,You are at the bar. You order cocktails,"Press 1 to go to the beach, Press 2 to go to the train station, or Press 3 to get on the boat",0,0,1,1,0,1
9,dock,4,1,12,"You are on the dock, watching pirates ship","Press 1 to go back to the beach, Press 2 to go back home, or Press 3 to get on the boat",0,0,0,0,0,0
10,treehouse,6,14,15,"You are in Tarzan's treehouse. You see the lake, the waterfall, and the village from here","Press 1 to go to the bridge, Press 2 to go to the lake, or Press 3 to go to the waterfall",0,0,0,0,1,0
11,train,7,16,12,You are at the train station. You bought a train ticket,"Press 1 to go to the mall, Press 2 to go to Tim Hortons, or Press 3 to get on the boat",0,0,0,0,1,1
12,boat,8,11,9,"You get on a boat, enjoying ocean view","Press 1 to go to the bar, Press 2 to go to the train station, or Press 3 to go to the dock",0,0,0,0,0,0
13,oasis,5,2,21,You are at the Oasis. It is peaceful here,"Press 1 to go to the cave, Press 2 to go to the jungle, or Press 3 to explore the oasis ",0,0,0,1,0,0
14,lake,5,10,21,"You found a lake, the water is icing cold","Press 1 to go to the cave, Press 2 to go to the Treehouse, or Press 3 to look around",0,0,0,0,0,0
15,waterfall,10,17,18,"You are at the waterfall, one of the biggest waterfalls you've ever seen","Press 1 to go to the Treehouse, Press 2 to go dive underwater, or Press 3 to go to the park nearby",0,0,0,0,0,0
16,Tim hortons,7,11,18,"You are at Tim hortons, sipping your coffee","Press 1 to go to the mall, Press 2 to go to the train station, or Press 3 to go to the park nearby",0,0,1,1,1,1
17,underwater,15,19,20,"You are underwater, not sure which way to go","Press 1 to go to the waterfall, Press 2 to go to the forest, or Press 3 to dive underwater",0,0,0,0,0,0
18,park,15,16,12,"You are at the park, so many dogs running around","Press 1 to go to the waterfall, Press 2 to go to Tim Hortons, or Press 3 to get on the boat",0,0,0,0,0,0
19,forest,21,17,,You find yourself deep in the forest. There is a dark path and deep water,"Press 1 to walk around, Press 2 to dive under water",0,0,0,0,0,0
20,underwater cave,17,22,23,You found two secret caves underwater,"Press 1 to dive back, Press 2 to go to the left, or Press 3 to go to the right",0,0,0,0,0,0
21,treasure site,13,14,19,You found the treasure site. You collect some gold,"Press 1 to go to the oasis, Press 2 to go to the lake, or Press 3 to go to the forest",0,0,0,0,0,1
22,under water doors,20,24,25,"You found two doors, one green, one red","Press 1 to exit the cave, Press 2 to go through the green door, or Press 3 to go through the red door",0,0,0,0,0,0
23,underwater Prison,,,,"You are trapped in the underwater prison, you lose!",,0,1,0,0,0,0
24,dragon room,,,,You got into the room full of dragons! You lose!,,0,1,0,0,0,0
25,magic Room,,,,"You found the portal door to go anywhere you want, you win!",,1,0,0,0,0,0